trade_id,open_dt,close_dt,trading_days_open,buy_price,sell_price,benchmark_buy_price,benchmark_sell_price,trade_rtn,benchmark_rtn,trade_rtn_per_trading_day,benchmark_rtn_per_trading_day
47,2021-03-02,2021-03-09,6,388.02,388.59,391.31,388.59,0.0014679185237177876,-0.00697528151905695,0.00024465308728629793,-0.001162546919842825
46,2021-02-25,2021-03-04,6,373.26,383.78,391.86,378.1,0.0277942439866129,-0.03574592224573353,0.004632373997768817,-0.005957653707622255
45,2021-01-25,2021-02-01,6,385.84,377.6,385.12,377.6,-0.021587341489370634,-0.019719539763416172,-0.003597890248228439,-0.003286589960569362
44,2021-01-05,2021-01-12,6,380.2,372.67,369.44,380.2,-0.020004120503567903,0.028709084448143442,-0.003334020083927984,0.004784847408023907
43,2020-11-25,2020-12-03,6,368.03,363.99,364.4,368.03,-0.011038061853453544,0.009912291199541758,-0.0018396769755755907,0.0016520485332569598
42,2020-11-24,2020-12-02,6,368.1,364.51,361.52,368.1,-0.009800654470341397,0.018037275281951284,-0.0016334424117235662,0.0030062125469918805
41,2020-11-09,2020-11-16,6,363.8,355.83,365.29,363.8,-0.02215117737472791,-0.0040872925820485215,-0.0036918628957879848,-0.0006812154303414203
40,2020-10-28,2020-10-29,2,327.88,334.54,333.24,331.15,0.020108766099032935,-0.006291506175720193,0.010054383049516467,-0.0031457530878600966
39,2020-10-27,2020-11-03,6,339.43,337.28,340.9267,337.28,-0.006354294259631493,-0.010754052252488983,-0.0010590490432719156,-0.001792342042081497
38,2020-10-26,2020-11-02,6,340.59,331.36,343.32,331.36,-0.02747401019727788,-0.03545755920274517,-0.004579001699546313,-0.005909593200457528
37,2020-10-22,2020-10-26,3,336.81,345.86,344.2,340.59,0.026515095758978396,-0.010543475932887089,0.0088383652529928,-0.0035144919776290296
36,2020-10-21,2020-10-26,4,336.81,343.9,344.52,340.59,0.02083194429942264,-0.011472736076420948,0.00520798607485566,-0.002868184019105237
35,2020-10-20,2020-10-26,5,336.81,344.57,344.67,340.59,0.022778289707388724,-0.011908029688831246,0.004555657941477745,-0.0023816059377662494
34,2020-09-09,2020-09-10,2,334.21,341.18,338.98,335.22,0.02064065933646631,-0.011154075890795957,0.010320329668233154,-0.005577037945397979
33,2020-08-26,2020-09-02,6,359.24,349.0,346.11,359.24,-0.028918766600321832,0.03723404519544105,-0.004819794433386972,0.006205674199240175
32,2020-08-25,2020-09-01,6,354.06,345.49,344.96,354.06,-0.02450269106833856,0.02603792201655471,-0.004083781844723093,0.004339653669425785
31,2020-08-10,2020-08-17,6,339.28,336.96,336.42,339.28,-0.00686149622072452,0.008465345802698926,-0.0011435827034540866,0.0014108909671164875
30,2020-08-07,2020-08-14,6,338.19,335.95,334.6,338.19,-0.00664552835839069,0.010672079171826054,-0.0011075880597317816,0.0017786798619710091
29,2020-07-27,2020-08-03,6,330.11,324.5,322.89,330.11,-0.017140396106501688,0.02211422430632975,-0.002856732684416948,0.0036857040510549586
28,2020-07-23,2020-07-30,6,324.2,325.26,327.72,325.26,0.0032642531987260143,-0.007534722773312243,0.000544042199787669,-0.001255787128885374
27,2020-05-11,2020-05-12,2,287.46,293.45,291.21,287.47,0.020623546881257712,-0.012926149425539456,0.010311773440628856,-0.006463074712769728
26,2020-02-20,2020-02-27,6,338.49,298.71,339.33,298.71,-0.12502134675036192,-0.1274998821432968,-0.02083689112506032,-0.021249980357216133
25,2020-01-27,2020-02-03,6,324.87,325.56,324.45,325.56,0.0021216741504428657,0.003415335391663323,0.0003536123584071443,0.0005692225652772205
24,2020-01-24,2020-01-31,6,330.23,323.24,333.91,323.24,-0.02139430002166548,-0.03247641422244995,-0.00356571667027758,-0.005412735703741658
23,2020-01-22,2020-01-29,6,332.85,328.1,333.75,328.1,-0.014373498079656724,-0.017073769747403284,-0.002395583013276121,-0.0028456282912338805
22,2020-01-13,2020-01-21,6,332.78,329.43,327.87,332.78,-0.01011772270962949,0.014864422630669298,-0.0016862871182715816,0.0024774037717782164
21,2020-01-09,2020-01-16,6,332.4,328.05,327.59,332.4,-0.01317302719040644,0.014576236498802,-0.0021955045317344065,0.0024293727498003333
20,2020-01-08,2020-01-15,6,329.66,325.85,324.38,329.66,-0.011624667524820583,0.016146152243666525,-0.001937444587470097,0.0026910253739444207
19,2020-01-03,2020-01-10,6,323.81,327.14,322.53,327.14,0.010231289802450453,0.014192058665133213,0.0017052149670750754,0.0023653431108555355
18,2020-01-02,2020-01-09,6,326.32,328.05,324.98,328.05,0.005287540781583603,0.009402393816256249,0.0008812567969306005,0.0015670656360427082
17,2019-11-27,2019-12-03,4,308.88,317.25,316.47,311.25,0.026737254638516113,-0.01663200258290978,0.006684313659629028,-0.004158000645727445
16,2019-11-25,2019-12-03,6,311.25,315.1,313.75,311.25,0.01229360098431152,-0.008000042667076265,0.0020489334973852534,-0.0013333404445127108
15,2019-11-22,2019-12-02,6,313.41,312.74,312.86,313.41,-0.002140063102162103,0.0017564313839020867,-0.00035667718369368387,0.0002927385639836811
14,2019-11-20,2019-11-27,6,312.52,317.25,313.06,317.25,0.015021639465953597,0.0132952411344202,0.0025036065776589326,0.002215873522403367
13,2019-11-07,2019-11-14,6,311.3,309.98,310.32,311.3,-0.004249298178657768,0.003153054315850814,-0.000708216363109628,0.0005255090526418023
12,2019-11-05,2019-11-12,6,310.69,308.74,309.36,310.69,-0.0062961317395118675,0.004289983194165465,-0.0010493552899186445,0.0007149971990275775
11,2019-07-01,2019-07-09,6,299.03,297.32,298.37,299.03,-0.005734902948590048,0.0022095757232082586,-0.0009558171580983412,0.0003682626205347098
10,2019-06-26,2019-07-03,6,300.48,292.08,293.42,300.48,-0.02835345867251672,0.023776166308400116,-0.0047255764454194535,0.003962694384733353
9,2019-06-20,2019-06-27,6,296.02,293.28,296.32,293.28,-0.009299235517647858,-0.010312167366419711,-0.001549872586274643,-0.0017186945610699518
8,2019-06-19,2019-06-26,6,293.24,292.08,292.79,292.08,-0.003963649008004544,-0.00242789115108358,-0.0006606081680007573,-0.0004046485251805966
7,2019-06-11,2019-06-18,6,292.45,290.95,293.0,292.45,-0.005142280786355861,-0.0018788971280325319,-0.0008570467977259767,-0.0003131495213387553
6,2019-06-10,2019-06-17,6,289.74,291.0,291.36,289.74,0.004339298057986992,-0.005575646865792341,0.000723216342997832,-0.0009292744776320567
5,2019-05-07,2019-05-14,6,289.91,285.32,292.13,285.32,-0.015959172576174355,-0.023587551263341566,-0.002659862096029059,-0.003931258543890261
4,2019-05-02,2019-05-09,6,285.23,293.26,293.64,288.72,0.027763715199989433,-0.016897166908047375,0.004627285866664906,-0.0028161944846745624
3,2019-04-26,2019-05-03,6,295.47,296.01,294.11,296.01,0.0018259286874642204,0.006439390515169417,0.0003043214479107034,0.0010732317525282361
2,2019-03-22,2019-03-29,6,281.16,284.56,285.12,284.56,0.012020225332495074,-0.0019660166422447484,0.002003370888749179,-0.00032766944037412475
1,2019-03-20,2019-03-27,6,283.39,281.58,284.06,281.58,-0.006407441784537469,-0.008768884418600716,-0.0010679069640895781,-0.0014614807364334527
0,2019-03-19,2019-03-25,5,279.53,285.54,286.51,280.91,0.021272502999919233,-0.019739106225486202,0.004254500599983847,-0.00394782124509724
